,CompositeScore,WinRate,CI_Low,CI_High
Augusto Paolo Lojudice,0.38532736553371316,0.009308270676691729,0.008806386535668311,0.009838888786635042
Jean-Paul Vesco OP,0.3851891278094298,0.009466165413533834,0.008959960903395812,0.010001094660098781
Matteo Zuppi,0.384876114877867,0.009586466165413534,0.009076994733128509,0.010124655299540502
António Marto,0.3844930806143712,0.009390977443609023,0.008886825598950706,0.00992385842117725
Grzegorz Ryś,0.3838224977089496,0.009345864661654135,0.008842948469140357,0.009877512624917414
Luis José Rueda Aparicio,0.38259266118656415,0.009451127819548872,0.008945333170761531,0.009985648084067995
Carlos Osoro Sierra,0.3793248059798404,0.009661654135338345,0.009150151564501535,0.010201870011272585
Anders Arborelius OCD,0.37861182395578574,0.009233082706766918,0.008733269108073973,0.00976163467063939
Arlindo Gomes Furtado,0.37802215913449544,0.009315789473684211,0.008813698751401935,0.009846613725254444
Luis Cabrera Herrera OFM,0.3764926938336137,0.009593984962406016,0.009084310048745098,0.010132377138238797
Jean-Claude Hollerich SJ,0.3741789274526421,0.009097744360902256,0.008601679664325417,0.00962255533564583
Pablo Virgilio David,0.3736013246947137,0.008969924812030076,0.00847742710845571,0.009491176266804804
Ignatius Suharyo Hardjoatmodjo,0.3734653067162583,0.00936842105263158,0.008864886652130793,0.009900685904966828
Joseph W. Tobin CSsR,0.3708106026020287,0.00906015037593985,0.008565132111395589,0.00958391711663718
Roberto Repole,0.37016845611162025,0.00937593984962406,0.008872199549668933,0.009908410161773185
Orani João Tempesta OCist,0.3694366165651733,0.008706766917293234,0.008221696036463227,0.009220606933867915
Leopoldo Brenes,0.36875960631723487,0.008804511278195488,0.008316668604168687,0.009321117373888436
Philippe Ouédraogo,0.3665593491858283,0.009263157894736843,0.008762515044268462,0.009792537351894023
Sebastian Francis,0.36431690765217883,0.008609022556390978,0.008126739460763515,0.009120080501619188
Wilton Daniel Gregory,0.3627881147892976,0.009210526315789473,0.008711335566161221,0.009738456749453735
Vincent Nichols,0.36012858625827143,0.008834586466165414,0.008345894109114137,0.009352040486661153
Álvaro Leonel Ramazzini Imeri,0.3601177742002346,0.008593984962406015,0.008112132193354611,0.009104613460092652
John Dew,0.3600453931342933,0.008902255639097745,0.008411656900815438,0.009421612084752338
Daniel Sturla SDB,0.35940168502506536,0.008984962406015038,0.008492043708881227,0.00950663397518657
Fernando Chomalí Garib,0.3573660228905569,0.008691729323308271,0.008207086284924793,0.009205142376505868
Stephen Chow Sau-yan SJ,0.35668347228846425,0.008609022556390978,0.008126739460763515,0.009120080501619188
Filipe Neri Ferrão,0.3557598555158139,0.008977443609022556,0.008484735363460207,0.009498905166204549
João Braz de Aviz,0.35528411553435063,0.008571428571428572,0.008090222016114855,0.009081412173919067
Thomas Aquino Manyo Maeda,0.34977613241959205,0.00831578947368421,0.007841968430215604,0.008818402506907805
Dieudonné Nzapalainga CSSp,0.3494627985397432,0.008902255639097745,0.008411656900815438,0.009421612084752338
Odilo Scherer,0.34693017964893447,0.009022556390977444,0.008528586788309603,0.00954527666775547
Giorgio Marengo IMC,0.3449918099024714,0.007947368421052632,0.007484398701010828,0.008439151662622033
Peter Turkson,0.34444966742061084,0.008293233082706767,0.007820069248129358,0.008795190225420357
Virgílio do Carmo da Silva SDB,0.34429143512165045,0.008639097744360903,0.00815595514927618,0.009151013430960983
Oscar Cantoni,0.3441059157978576,0.009007518796992482,0.008513969286520966,0.00952981986074879
Gérald Lacroix ISPX,0.34367130125784995,0.008714285714285714,0.008229001054228614,0.00922833907055084
Berhaneyesus Demerew Souraphiel CM,0.3430299570603237,0.008473684210526316,0.007995288031449077,0.008980863150315476
