,WinCount,WinRate,CI_Low,CI_High
Francisco Robles Ortega,1075,0.008082706766917294,0.0076157215320434785,0.008578497614141855
François-Xavier Bustillo OFMConv,1069,0.008037593984962406,0.007571943407887815,0.008532052810840584
Stephen Ameyu Martin Mulla,1064,0.008,0.0075354645669779745,0.008493345878823713
Kriengsak Kovitvanit,1062,0.007984962406015038,0.007520873780744985,0.008477862355874197
Désiré Tsarahazana,1060,0.007969924812030075,0.007506283424958641,0.008462378402471145
Giorgio Marengo IMC,1057,0.007947368421052632,0.007484398701010828,0.008439151662622033
Peter Okpaleke,1055,0.00793233082706767,0.007469809426638861,0.008423666627787395
Manuel Clemente,1025,0.007706766917293233,0.007251023173597461,0.008191338241871227
Ignace Bessi Dogbo,1025,0.007706766917293233,0.007251023173597461,0.008191338241871227
Baselios Cleemis,1024,0.007699248120300752,0.0072437320325674775,0.008183592228240676
José Tolentino de Mendonça,1006,0.0075639097744360905,0.007112511081761779,0.008044144394825745
Dominique Mathieu OFMConv,1001,0.007526315789473684,0.007076067481948523,0.008005402221130388
Joseph Coutts,988,0.0074285714285714285,0.006981327925735059,0.00790465876598106
Jean-Pierre Kutwa,983,0.007390977443609023,0.006944895005074837,0.007865905912945571
Angelo De Donatis,971,0.007300751879699248,0.006857468352988553,0.007772886707941143
Michael Czerny SJ,971,0.007300751879699248,0.006857468352988553,0.007772886707941143
Ángel Fernández Artime SDB,961,0.007225563909774436,0.006784626320545434,0.007695357192563536
Fabio Baggio CS,952,0.007157894736842105,0.006719079161325164,0.007625569958548405
Ladislav Nemet SVD,947,0.0071203007518796995,0.006682668495283603,0.007586794850487733
Louis Raphaël I Sako,907,0.006819548872180451,0.006391500181080205,0.007276476969623694
Protase Rugambwa,898,0.00675187969924812,0.006326016820909478,0.007206625935319968
Víctor Manuel Fernández,884,0.006646616541353383,0.006224176114809798,0.007097946471780209
Christophe Pierre,869,0.006533834586466165,0.006115091842409078,0.0069814734189228966
Mario Zenari,853,0.006413533834586466,0.005998771276089428,0.006857199504193882
Konrad Krajewski,843,0.006338345864661654,0.005926090238549903,0.006779508990652879
Luis Antonio Tagle,835,0.006278195488721805,0.005867956321106722,0.006717345666986591
Malcolm Ranjith,797,0.005992481203007519,0.005591957200575,0.006421932889065105
Jozef De Kesel,788,0.005924812030075188,0.005526623266276659,0.006351932425537337
George Koovakad,788,0.005924812030075188,0.005526623266276659,0.006351932425537337
Mario Grech,787,0.0059172932330827065,0.005519364774920177,0.0063441537615591395
Domenico Battaglia,786,0.005909774436090225,0.005512106451656356,0.0063363749294840736
Marcello Semeraro,785,0.005902255639097745,0.005504848296803835,0.006328595928993526
Timothy Radcliffe OP,784,0.005894736842105263,0.005497590310682265,0.006320816759767794
Claudio Gugerotti,784,0.005894736842105263,0.005497590310682265,0.006320816759767794
Mauro Gambetti OFMConv,779,0.005857142857142857,0.005461302922297933,0.006281918371351684
Lazarus You Heung-sik,774,0.005819548872180451,0.005425019800725411,0.006243015716015725
Robert Francis Prevost OSA,770,0.005789473684210527,0.005395996403184529,0.006211890491950609
Rolandas Makrickas,741,0.005571428571428572,0.005185661235282487,0.0059861481509956415
Rainer Woelki,706,0.005308270676691729,0.004932015333948883,0.005713493604925639
William Goh,679,0.005105263157894737,0.004736510215679897,0.005502995516099024
Daniel DiNardo,631,0.004744360902255639,0.004389328807438054,0.005128393432907202
Timothy Dolan,618,0.004646616541353383,0.004295390716783258,0.0050268484915743155
Giuseppe Petrocchi,606,0.004556390977443609,0.004208714757776293,0.004933078573604374
Gerhard Ludwig Müller,570,0.004285714285714286,0.0039489056874702395,0.004651550004716879
Giuseppe Betori,550,0.004135338345864661,0.003804717576948004,0.004494994976336969
Kurt Koch,534,0.004015037593984963,0.003689449401842045,0.004369668636810086
Philippe Barbarin,505,0.0037969924812030075,0.003480723866708552,0.004142316605194142
Robert Sarah,477,0.003586466165413534,0.0032794556621749036,0.0039225443877951155
Fernando Filoni,474,0.0035639097744360904,0.0032579072868228255,0.0038989812885379207
Wim Eijk,473,0.003556390977443609,0.003250725209482429,0.0038911262076370763
Thomas Collins,468,0.003518796992481203,0.003214820232081875,0.0038518453935398257
James Michael Harvey,467,0.0035112781954887216,0.0032076403264968125,0.0038439881407661284
Raymond Leo Burke,458,0.003443609022556391,0.003143037788496824,0.00377325625262043
Dominique Mamberti,430,0.003233082706766917,0.0029422515021348054,0.0035530020905986046
Péter Erdő,424,0.00318796992481203,0.002899267064673531,0.00350576357234399
Pietro Parolin,372,0.0027969924812030074,0.002527410104070252,0.0030956882047533897
Emil Paul Tscherrig,316,0.00237593984962406,0.0021285215869245168,0.0026524956294672023
Mykola Bychok CSsR,0,0.0,1.9035800914704428e-07,2.773534257418946e-05
Stanisław Ryłko,0,0.0,1.9035800914704428e-07,2.773534257418946e-05
Kazimierz Nycz,0,0.0,1.9035800914704428e-07,2.773534257418946e-05
Vinko Puljić,0,0.0,1.9035800914704428e-07,2.773534257418946e-05
Frank Leo,0,0.0,1.9035800914704428e-07,2.773534257418946e-05
Josip Bozanić,0,0.0,1.9035800914704428e-07,2.773534257418946e-05
